SYMBOL,COMPANY,QTY,AVG_BUY_PRICE,FREE_SHARES,STATUS,PORTFOLIO_ROLE,NOTES
CEMPRO,CEMPRO,20,476.33,0,HOLD,CORE,
SHRIRAMFIN,SHRIRAM FINANCE,7,721.55,0,HOLD,CORE, i5 
